seq,id,x_m,y_m,z_m,eta_s
0,START,0.0,0.0,0.0,0.0
1,WP2,3500.0,-500.0,0.0,294.6278254943948
2,WP3,5000.0,2000.0,0.0,537.5841544462824
3,WP1,2000.0,1000.0,0.0,801.1072927936473
